Season_Name,Date,StartTime,PlotNum,Riding.not,Species,COMMON_NAME,ObsType,Num_Seen,Distance,X0_3,X3_5,X5_7,X7_10
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,AMGO,American Goldfinch,V/C,2,14,2,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,MODO,Mourning Dove,Visual,2,111,2,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,SWTH,Swainson's Thrush,Call,1,55,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,MODO,Mourning Dove,Visual,1,26,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,MODO,Mourning Dove,Visual,1,26,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,AMGO,American Goldfinch,Visual,1,66,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,AMGO,American Goldfinch,Visual,1,60,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,AMGO,American Goldfinch,Visual,1,97,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,BEWR,Bewick's Wren,Song,1,61,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,CATH,California Thrasher,Song,1,86,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,WCSP,White-crowned Sparrow,Song,1,16,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,SPTO,Spotted Towhee,Call,1,42,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,WCSP,White-crowned Sparrow,Call,1,75,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,6:58,1,R,CATH,California Thrasher,Song,1,70,NA,NA,NA,1
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,AMGO,American Goldfinch,Call,1,30,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,CATH,California Thrasher,Song,1,150,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,MODO,Mourning Dove,Visual,1,150,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,WCSP,White-crowned Sparrow,Visual,1,44,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,WCSP,White-crowned Sparrow,Visual,1,26,NA,NA,1,NA
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,WCSP,White-crowned Sparrow,Visual,1,56,NA,NA,1,NA
2013 Spring Survey 1 of 4,4/25/2013,7:13,2,R,ALHU,Allen's Hummingbird,Visual,1,24,NA,NA,NA,1
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,HOFI,House Finch,Visual,1,3,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,OSFL,Olive sided flycatcher,Visual,1,44,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,BEWR,Bewick's Wren,Song,1,40,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,TOWA,Townsend's Warbler,Visual,1,48,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,OCWA,Orange-crowned Warbler,Visual,1,8,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,AMGO,American Goldfinch,Visual,2,44,NA,2,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:15,3,R,BTYW,Black-throated Gray Warbler,Visual,1,44,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,SPTO,Spotted Towhee,Song,1,20,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,BEWR,Bewick's Wren,Song,1,30,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,WESJ,California Scrub-Jay,Visual,1,30,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,WESJ,California Scrub-Jay,Call,1,60,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,BEWR,Bewick's Wren,Song,1,30,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,CATH,California Thrasher,Song,1,60,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/25/2013,7:33,4,R,MODO,Mourning Dove,Call,1,60,NA,NA,1,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,WREN,Wrentit,Song,1,10,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,WCSP,White-crowned Sparrow,Visual,1,12,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,WCSP,White-crowned Sparrow,Visual,1,12,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,BUOR,Bullock's Oriole,Visual,1,26,1,NA,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,BEWR,Bewick's Wren,Song,1,20,NA,1,NA,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,SAPH,Say's Phoebe,Call,1,45,NA,NA,1,NA
2013 Spring Survey 1 of 4,4/26/2013,7:35,5,R,BUSH,Bushtit,Visual,1,34,NA,NA,NA,1
